encode_id,clip_id,encode_width,encode_height,clip_width,clip_height,clip_duration,clip_size,clip_bitrate_total,video_profile,clip_frame_rate,crf,encode_bitrate_video,nr_of_images,nr_of_image_shifts,psnr,vmaf
139,5,320,240,1920,1080,19,41249088,17350686,"High 4:2:2",30000/1001,55,13975,3,8,23.059302,0.914457
140,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,18,31965055,2,11,39.897089,96.812706
141,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,19,26317390,2,11,39.124165,96.012268
142,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,20,21645223,2,11,38.439821,95.102669
143,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,23,12617049,2,11,36.787391,91.863864
144,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,25,9134862,2,11,35.81954,89.166648
145,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,27,6738773,2,11,34.840429,85.827134
146,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,29,5052066,2,11,33.826139,81.627502
147,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,22,14973489,2,11,37.296855,93.041582
148,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,30,4395618,2,11,33.308022,79.268384
149,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,31,3830798,2,11,32.778267,76.643283
150,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,32,3348906,2,11,32.246531,73.8143
151,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,33,2933746,2,11,31.712179,70.776624
152,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,35,2260415,2,11,30.630972,64.150731
153,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,37,1754686,2,11,29.554292,56.769344
154,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,40,1218860,2,11,27.971626,45.265158
155,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,43,860291,2,11,26.447604,33.766199
156,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,45,678211,2,11,25.495465,26.760924
157,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,50,372258,2,11,23.385247,11.814692
158,6,1920,1080,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,55,335130,2,11,23.066831,9.489438
159,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,18,13299632,2,11,36.69984,92.322876
160,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,19,11245974,2,11,36.337698,91.252623
161,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,20,9591798,2,11,35.97618,90.090834
162,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,22,7112121,2,11,35.23564,87.437903
163,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,23,6140438,2,11,34.838417,85.860497
164,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,25,4589662,2,11,33.984273,82.245365
165,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,27,3451526,2,11,33.050201,77.852799
166,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,29,2610206,2,11,32.057199,72.564941
167,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,30,2276912,2,11,31.547409,69.603653
168,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,31,1986099,2,11,31.030584,66.456003
169,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,32,1732832,2,11,30.504608,63.261889
170,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,33,1514295,2,11,29.981572,59.752722
171,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,35,1156504,2,11,28.924356,52.616511
172,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,37,885649,2,11,27.882963,44.956683
173,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,40,600881,2,11,26.370268,33.873057
174,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,43,415476,2,11,24.963424,23.465267
175,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,45,322106,2,11,24.104865,17.532709
176,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,50,163450,2,11,22.205702,5.228644
177,6,1280,720,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,55,146018,2,11,21.922699,3.935294
178,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,18,5292775,2,11,30.876136,76.849017
179,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,19,4609231,2,11,30.760909,75.523015
180,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,20,4017881,2,11,30.630858,74.048773
181,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,22,3058638,2,11,30.315632,70.628067
182,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,23,2670054,2,11,30.127735,68.626955
183,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,25,2023549,2,11,29.684248,64.121003
184,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,27,1526362,2,11,29.149546,58.869204
185,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,29,1149556,2,11,28.525094,53.018709
186,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,30,995450,2,11,28.185145,49.981195
187,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,31,862700,2,11,27.832307,46.703294
188,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,32,747477,2,11,27.468835,43.435015
189,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,33,649313,2,11,27.099584,40.25227
190,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,35,489278,2,11,26.333089,33.703292
191,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,37,370051,2,11,25.545267,27.436952
192,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,40,245418,2,11,24.366004,18.585839
193,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,43,166044,2,11,23.231073,11.044227
194,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,45,126173,2,11,22.550027,7.296842
195,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,50,60750,2,11,21.05944,1.398844
196,6,720,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,55,54121,2,11,20.826808,0.878999
197,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,18,4725335,2,11,30.014576,73.307199
198,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,19,4117724,2,11,29.918344,71.952461
199,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,20,3590023,2,11,29.809723,70.4836
200,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,22,2734457,2,11,29.542824,66.983285
201,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,23,2388828,2,11,29.383348,64.980302
202,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,25,1811018,2,11,29.001084,60.445084
203,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,27,1365576,2,11,28.532292,55.222829
204,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,29,1029360,2,11,27.980017,49.413583
205,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,30,891386,2,11,27.672922,46.34387
206,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,31,773005,2,11,27.355655,43.281983
207,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,32,669812,2,11,27.023824,40.180345
208,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,33,579826,2,11,26.677462,36.910911
209,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,35,436780,2,11,25.968941,30.757265
210,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,37,329871,2,11,25.233788,24.645802
211,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,40,218746,2,11,24.110877,16.429467
212,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,43,147653,2,11,23.029689,9.79275
213,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,45,111792,2,11,22.370301,6.387832
214,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,50,54092,2,11,20.946939,1.053183
215,6,640,480,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,55,48005,2,11,20.695751,0.723837
216,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,18,3067648,2,11,27.827439,60.378466
217,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,19,2684380,2,11,27.767158,59.009083
218,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,20,2349568,2,11,27.696993,57.454939
219,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,22,1797640,2,11,27.522841,53.946819
220,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,23,1573814,2,11,27.417776,51.950033
221,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,25,1193367,2,11,27.157902,47.497531
222,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,27,899230,2,11,26.830163,42.607767
223,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,29,676350,2,11,26.42988,37.313762
224,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,30,585533,2,11,26.203368,34.570184
225,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,31,507142,2,11,25.962471,31.906546
226,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,32,438965,2,11,25.708319,29.159868
227,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,33,380759,2,11,25.441999,26.485037
228,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,35,286277,2,11,24.878318,21.235883
229,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,37,216243,2,11,24.275209,16.233587
230,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,40,142443,2,11,23.319169,10.35359
231,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,43,95334,2,11,22.37767,5.153241
232,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,45,72097,2,11,21.801398,2.991639
233,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,50,34747,2,11,20.536518,0.658615
234,6,512,384,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,55,30977,2,11,20.332139,0.32269
235,6,384,288,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,18,1746990,2,11,25.733528,39.804554
236,6,384,288,1920,1080,19,378608416,159254815,"High 4:2:2",30000/1001,19,1532258,2,11,25.694842,38.579728
